Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
8621,"Ballyshannon Community Hospital","College Street, Ballyshannon, F94 DR40",Donegal,60,"071 985 1303","Donna Reid","071 985 1303","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",18-12-2023,17-12-2026,,,,REG-0042052,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on[16/11/2023]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 60.Condition 4By 31 January 2024 all barriers on external rooftop gardens and terraces will be extended to a suitable height to protect residents from the risk of catastrophic falls. In the interim of such work being completed the HSE will ensure that 1.neither residents nor staff will be able to access the roof top gardens and terraces2. appropriate signage is put in place to ensure that all visitors to the centre are aware that these areas may not be accessed 3. at all times (day and night) there are sufficient numbers of staff on duty in the designated centre to ensure appropriate supervision of residents and monitoring of exits out to the rooftop gardens and terraces.4. all staff employed in the designated centre are aware of the wording of this condition and the potential risk to residents",https://www.hiqa.ie/areas-we-work/find-a-centre/ballyshannon-community-hospital
485,"Baltinglass Community Hospital","Newtownsaunders, Baltinglass, W91 EK59",Wicklow,54,"059 645 1600","Emma Redmond","059 645 1600","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-06-2021,24-06-2024,,,,REG-0034554,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 23 February 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 54.",https://www.hiqa.ie/areas-we-work/find-a-centre/baltinglass-community-hospital
557,"Bandon Community Hospital","Hospital Lane, Cloughmacsimon, Bandon, P72 W564",Cork,25,"023 884 1403","Amrutha George","023 884 1403","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-10-2021,24-10-2024,,,,REG-0035000,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 03/08/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 25",https://www.hiqa.ie/areas-we-work/find-a-centre/bandon-community-hospital
320,"Beach Hill Manor Private Nursing Home","Lisfannon, Fahan, F93 EK06",Donegal,48,"074 932 0300","Markita O'Callaghan","074 932 0300","The Brindley Manor Federation of Nursing Homes Limited","Brindley Manor Nursing Home, Letterkenny Road, Convoy, F93 ND80, Donegal","074 914 7000",28-03-2023,27-03-2026,,325873,"Edward Harkin - 087 964 2152, Ashling Newman - 087 915 0652",REG-0036776,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated [27/09/2022]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: [48].",https://www.hiqa.ie/areas-we-work/find-a-centre/beach-hill-manor-private-nursing-home
709,"Beaufort House","HSE Navan Community Health Unit, Beaufort House, Athboy Road, Navan, C15 N82V",Meath,44,"046 909 9101","Nicola Wilson","046 909 9105","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",27-05-2023,26-05-2026,,,"Patricia Greville - 086 418 5569",REG-0037045,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10 January 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 44.",https://www.hiqa.ie/areas-we-work/find-a-centre/beaufort-house
198,"Beaumont Residential Care","Woodvale Road, Beaumont, T12 ED00",Cork,73,"021 429 2195","Philip Hulme","021 429 2195","Beaumont Residential Care Limited","CareChoice Group, First Floor Block 10-2, Blanchardstown Corporate Park 1, Blanchardstown, D15 A25K, Dublin 15","01 223 3000",01-11-2022,31-10-2025,,138489,,REG-0036281,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose dated 04/07/22 within the footprint of the designated centre on the floor plan dated 08/08/22. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 73.",https://www.hiqa.ie/areas-we-work/find-a-centre/beaumont-residential-care
408,"Beech Lodge Care Facility","Bruree, V35 E868",Limerick,66,"063 905 22","Eleanor Clancy","063 905 22","Beech Lodge Care Facility Limited","Beech Lodge Care Facility Ltd, Kilmallock Road, Bruree, V35 E868, Limerick","063 905 22",26-04-2021,25-04-2024,,492837,,REG-0034027,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 09/02/21. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 66.",https://www.hiqa.ie/areas-we-work/find-a-centre/beech-lodge-care-facility
12,"Beech Park Nursing Home","Dunmurry East, Kildare Town, R51 PC58",Kildare,47,"045 534 000","Divya Jayarajan","045 534 4000","Dunmurry West Care Homes Ltd.","Mount Hybla House, Farmleigh Estate, Castleknock, D15 Y977, Dublin 15","01 634 6818",11-10-2022,10-10-2025,,652315,"Paul Hanna - 087 711 3619, Sarah McMickan - 087 969 2754",REG-0036219,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11 August 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 47.",https://www.hiqa.ie/areas-we-work/find-a-centre/beech-park-nursing-home
13,"Beechfield Manor Nursing Home","Shanganagh Road, Shankill , D18 P389",Dublin,69,"01 282 4874","Colin Morgan","01 282 4874","Beechfield Manor Nursing Home Limited","Mount Hybla House, Farmleigh Estate, Castleknock, D15 Y977, Dublin 15","01 634 6818",01-06-2021,31-05-2024,,610885,,REG-0034502,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 09/03/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 69.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechfield-manor-nursing-home
115,"Beechlawn House Nursing Home","Beechlawn House Nursing Home, High Park, Grace Park Road, Drumcondra, D09 YK82",Dublin,56,"01 836 9622","Christopher Horgan","01 836 9622","Congregation of Our Lady of Charity of the Good Shepherd with Frances Lynch,  Shirley O'Sullivan,  Angela Fahy,  Regina McHugh,  Cait O'Leary as members","63 Lower Sean McDermott Street, D01 NX93, Dublin 1","01 871 1109 / 087 6497430",01-09-2023,31-08-2026,,,"Margaret Lynch - 01 836 9622",REG-0041897,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 22 August 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 56.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechlawn-house-nursing-home
116,"Beechtree Nursing Home","Murragh, Oldtown, A45 KC97",Dublin,79,"01 843 3634","Gireeshkumar Nair",08433634,"Beechtree Health Care Limited","The Old School House, Bantry, P75 VP95, Cork","01 843 3634",15-10-2023,14-10-2026,,378021,"Glas Care Holdco Ltd . - 086 803 7960, Ciaran Larmer - 01 280 9877, Richard Byrne - 01 280 9877",REG-0037499,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 79.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechtree-nursing-home
409,"Beechwood House Nursing Home","Rathnaneane, Newcastle West, V42 P308",Limerick,67,"069 624 08","Eileen Sweeney","069 62408","Beechwood House Nursing Home Limited","Beechwood House, Newcastle West, V42 P308, Limerick","069 624 08",23-02-2023,22-02-2026,,278520,"John Raleigh - 069 62408",REG-0036652,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated  5 January 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 67.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechwood-house-nursing-home
199,"Beechwood Nursing Home","Rathvindon, Leighlinbridge, R93 DD43",Carlow,57,"059 972 2366","Daniel Woodward","059 972 2366","Maisonbeech Limited","Mount Hybla House, Farmleigh Woods, Whites Road, Castleknock, D15Y977, Dublin 15","01 634 6818",23-05-2023,22-05-2026,,523982,"Simon Balfe - 087 607 3049, Sarah McMickan - 087 969 2754",REG-0037031,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 57.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechwood-nursing-home
438,"Bellvilla Community Unit","129 South Circular Road, D08 TP2D",Dublin,49,"01 795 9230 / 31","Nelson DSouza","01 795 9240","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",26-06-2021,25-06-2024,,,"Teresa Gilmore - 01 454 8033/01 491 8060",REG-0034549,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose and  within the footprint of the designated centre on the floor plan received on 23 February 2024 . The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 49",https://www.hiqa.ie/areas-we-work/find-a-centre/bellvilla-community-unit
14,"Belmont House Private Nursing Home","Galloping Green, Stillorgan, A94 KW44",Dublin,157,"01 278 4393","Sanalia Ibrahim","01 278 4393","Belmont Care Limited","Belmont House Nursing Home, Galloping Green, Stillorgan Rd, Blackrock, A94 KW44, Co. Dublin","01 668 4442",24-06-2022,23-06-2025,,258353,"Mary Lloyd - 01 278 4393",REG-0035871,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose dated 09/05/2022 within the footprint of the designated centre on the floor plan dated 06/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 157.",https://www.hiqa.ie/areas-we-work/find-a-centre/belmont-house-private-nursing-home
15,"Bethany House Nursing Home","Main Street, Tyrrellspass, N91 P5P6",Westmeath,90,"044 922 3391","Sinead Kelly","044 922 3391","MPM Nursing Home Limited","Bethany House Nursing Home, Tyrrellspass, Westmeath","044 922 3391",14-03-2024,13-03-2027,,417062,"Abigail Lebranchu - 01 869 9722",REG-0038122,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on[21/02/2024]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: [90].",https://www.hiqa.ie/areas-we-work/find-a-centre/bethany-house-nursing-home
522,"Birr Community Nursing Unit","Sandymount, Birr, R42 VN80",Offaly,74,"057 912 3200","Rosmy Cunningham","057 912 3200","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",01-11-2023,31-10-2026,,,,REG-0037556,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 8 December 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 74.",https://www.hiqa.ie/areas-we-work/find-a-centre/birr-community-nursing-unit
200,"Bishopscourt Residential Care","Liskillea, Waterfall, Near Cork, T12 RV0P",Cork,60,"021 488 5833","Helen Butler","021 488 5833","Bishopscourt Residential Care Limited","Bishopscourt Residential Care, Liskillea, Waterfall, T12 RVOP, Cork","021 488 5833",10-08-2023,09-08-2026,,275025,"Paul Vassallo - 021 4885 833",REG-0037286,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 60.",https://www.hiqa.ie/areas-we-work/find-a-centre/bishopscourt-residential-care
118,"Blackrock Abbey Nursing Home","Cockle Hill, Blackrock, Dundalk, A91 RP76",Louth,64,"042 932 1258","Livija Alsic","042 932 1258","ACH Nursing Home and Healthcare Ltd.","Mooretown House, Mooretown, Dublin Road, Dundalk, A91 R206, Louth","042 9321258",08-02-2024,07-02-2027,,597759,,REG-0037988,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 03/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 64.",https://www.hiqa.ie/areas-we-work/find-a-centre/blackrock-abbey-nursing-home
321,"Blackrocks Nursing Home","The Green Road, Foxford, F26 WE00",Mayo,48,"094 925 7555","Anne Maloney","094 925 7555","Blackrocks Nursing Home Limited","The Green, Foxford, F26 WE00, Mayo","094 925 7555",28-03-2024,27-03-2027,,497641,,REG-0038176,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 22.12.2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 48.Condition 4By 30 September 2024 the registered provider shall take the following action to protect residents from the risk of infection  including:1. Putting into place effective supervision processes to ensure staff practices are in line with Infection prevention and control standards so as to protect residents from the risk of infection2. Ensuring that all clinical hand wash sinks in the centre support effective hand washing practices3. Installing a suitable bedpan washer and ensuring that all sluice facilities are in full working order and accessible for staff to use when providing care for residents.4. Ensuring all equipment is cleaned and well maintained in line with recommended equipment cleaning procedures.5. Providing suitable storage areas that segregate equipment and clinical supplies and support effective cleaning processes.",https://www.hiqa.ie/areas-we-work/find-a-centre/blackrocks-nursing-home
201,"Blair's Hill Nursing Home","Blair's Hill, Sunday's Well, T23 NY65",Cork,37,"021 430 4229","Marie Tracey","021 430 4229","Blair's Hill Nursing Home Limited","Blair's Hill, Sunday's Well, Cork","021 430 4229",23-10-2023,22-10-2026,,412598,,REG-0037829,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 31 July 2023.  The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 37.",https://www.hiqa.ie/areas-we-work/find-a-centre/blairs-hill-nursing-home
390,"Blake Manor Nursing Home","Ballinderreen, Kilcolgan, H91 F510",Galway,39,"091 796 188","Carol Russell","091 796 188","Rushmore Nursing Home Limited","T/A Blake Manor Nursing Home, Ballinderreen, Kilcolgan, Galway","091 796 188",25-03-2023,24-03-2026,,83434,"Aideen Scanlon - 091 796 188",REG-0036765,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 29 November 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 39.",https://www.hiqa.ie/areas-we-work/find-a-centre/blake-manor-nursing-home
202,"Blarney Nursing and Retirement Home","Killowen, Blarney, T23 X084",Cork,20,"021 438 1631",,,"Blarney Nursing and Retirement Home Limited","Blarney Nursing and Retirement Home, Killowen, Blarney, Co. Cork, Cork","021 438 1631",15-12-2022,14-12-2025,,187968,"Sabu Sebastian - 021 438 1631",REG-0036430,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15 November 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 20Condition 4By 01 March 2023,  the registered provider shall ensure that the post of  Person in Charge in the designated center is held by a person who is a registered nurse with a post registration management qualification in health or a related field.",https://www.hiqa.ie/areas-we-work/find-a-centre/blarney-nursing-and-retirement-home
203,"Borris Lodge Nursing Home","Main Street, Borris, R95 X060",Carlow,52,"059 977 3112","Joanna Jacek","059 977 3112","Borris Lodge Nursing Home Limited","Dunboyne Nursing Home, Waynestown, Summerhill Road, Dunboyne, A86 XF89, Meath","01 801 5535",10-12-2022,09-12-2025,,494819,"Rosetta Herr - 01 825 5232, Sruthy Joseph Panajikkal - 047 721 38, Karen Byrne - 086 082 8146, Karen McElherron - 042 938 3997",REG-0036419,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11/08/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 52.",https://www.hiqa.ie/areas-we-work/find-a-centre/borris-lodge-nursing-home
17,"Brabazon House","2 Gilford Road, Sandymount, D04 TN93",Dublin,51,"01 269 1677","Usha Rosabel Sundar Baskar","01 269 1677","The Brabazon Trust with Sandra Younge,  Arthur Vincent,  Bryan Dobson,  Audrey Craven,  David Webb,  Janet Fox,  Ivor Moloney,  Graham Richards,  Yvonne Good as members","2 Gilford Road, Sandymount, D04 TN93, Dublin 4","01 269 1677",09-04-2021,08-04-2024,,,"Ferdinand Vergel de Dios - 01 269 1677, Hugh St Leger - 01 269 1677",REG-0033791,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 8.03.2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 51.Condition 4The three bedrooms (Rooms 114,  119 & 120) that are only accessible by either steps or a chair lift may only be occupied by residents who undergo professional assessment in relation to their safe use of the steps and chair lift. This condition is subject to ongoing professional assessment as part of the care planning process as required by the residents changing needs or circumstance and no less frequently than four monthly intervals.Where the continued use of either steps or the chair lift by the resident is assessed as unsafe,  alternative accommodation within the centre to meet the residents' needs will be provided.",https://www.hiqa.ie/areas-we-work/find-a-centre/brabazon-house
204,"Bramleigh Lodge Nursing Home","Cashel Road, Cahir, E21 AY88",Tipperary,26,"052 744 2129","Gerald Cruz","052 744 2129","Derg Healthcare Ltd.","1 Castleoak Crescent, Daark Rd, Nenagh, E45 Y364, Tipperary","087 6989401",01-06-2022,31-05-2025,,696996,,REG-0039954,,"Condition 1: Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 25/04/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2:Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3:The maximum number of persons that may be accommodated at the designated centre is: 26.",https://www.hiqa.ie/areas-we-work/find-a-centre/bramleigh-lodge-nursing-home
5812,"Brampton Care & Rehabilitation Centre","Main Street, Oranmore, H91 AR23",Galway,94,"091 483 290","Sharon Hennessy","091 483290","Brampton Care Ltd","Main Street, Oranmore, H91 AR23, Galway","091 483 290",21-11-2021,20-11-2024,,609384,"Noel Burke - 091 483 290",REG-0035119,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose dated 03/01/2024 within the footprint of the designated centre on the floor plan received 10/10/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 94",https://www.hiqa.ie/areas-we-work/find-a-centre/brampton-care-rehabilitation-centre
489,"Breffni Care Centre","Ballyconnell, H14 X048",Cavan,18,"049 952 5528","Loida Aragon","049 952 5525","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",13-06-2021,12-06-2024,,,"Bernardine Lynch - 087 793 2585",REG-0034586,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/06/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 18.",https://www.hiqa.ie/areas-we-work/find-a-centre/breffni-care-centre
