"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","All persons","Number","19137"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hotel","Number","192"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Guest house, boarding house or B&B","Number","19"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Tourist/youth hostel or campsite","Number","9"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Student specific accommodation","Number","16"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Religious community","Number","274"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1956"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Children's home","Number","2"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Nursing home","Number","14077"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hospital","Number","2288"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Prison","Number","32"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","137"
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Other, including not stated","Number","135"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","All persons","Number","28050"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Hotel","Number","625"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Guest house, boarding house or B&B","Number","77"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Tourist/youth hostel or campsite","Number","30"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Student specific accommodation","Number","112"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Religious community","Number","823"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","3242"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Children's home","Number","13"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Nursing home","Number","18136"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Hospital","Number","3946"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Defence establishment","Number","3"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Prison","Number","120"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","560"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Any Extent","Other, including not stated","Number","361"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","All persons","Number","7088"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Hotel","Number","417"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Guest house, boarding house or B&B","Number","56"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Tourist/youth hostel or campsite","Number","15"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Student specific accommodation","Number","103"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Religious community","Number","387"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","906"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Children's home","Number","11"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Nursing home","Number","3269"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Hospital","Number","1289"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Defence establishment","Number","3"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Prison","Number","85"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","375"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Some Extent","Other, including not stated","Number","170"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","All persons","Number","20962"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Hotel","Number","208"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Guest house, boarding house or B&B","Number","21"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Tourist/youth hostel or campsite","Number","15"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Student specific accommodation","Number","9"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Religious community","Number","436"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","2336"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Children's home","Number","2"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Nursing home","Number","14867"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Hospital","Number","2657"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Prison","Number","35"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","185"
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Other, including not stated","Number","191"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","All persons","Number","26220"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Hotel","Number","904"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Guest house, boarding house or B&B","Number","132"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Tourist/youth hostel or campsite","Number","63"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Student specific accommodation","Number","354"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Religious community","Number","566"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","3493"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Children's home","Number","22"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Nursing home","Number","15539"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Hospital","Number","3495"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Defence establishment","Number","6"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Prison","Number","211"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","898"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Any Extent","Other, including not stated","Number","536"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","All persons","Number","4109"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Hotel","Number","507"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Guest house, boarding house or B&B","Number","69"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Tourist/youth hostel or campsite","Number","30"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Student specific accommodation","Number","302"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Religious community","Number","130"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","436"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Children's home","Number","8"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Nursing home","Number","1327"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Hospital","Number","647"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Defence establishment","Number","4"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Prison","Number","125"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","399"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Some Extent","Other, including not stated","Number","124"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","All persons","Number","22111"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Hotel","Number","397"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Guest house, boarding house or B&B","Number","63"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Tourist/youth hostel or campsite","Number","33"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Student specific accommodation","Number","52"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Religious community","Number","436"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","3057"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Children's home","Number","14"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Nursing home","Number","14212"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Hospital","Number","2848"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Defence establishment","Number","2"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Prison","Number","86"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","499"
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Other, including not stated","Number","412"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","All persons","Number","28716"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Hotel","Number","1072"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Guest house, boarding house or B&B","Number","128"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Tourist/youth hostel or campsite","Number","54"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Student specific accommodation","Number","216"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Religious community","Number","886"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","3374"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Children's home","Number","16"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Nursing home","Number","17584"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Hospital","Number","3973"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Defence establishment","Number","8"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Prison","Number","208"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","716"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Any Extent","Other, including not stated","Number","479"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","All persons","Number","7575"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Hotel","Number","726"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Guest house, boarding house or B&B","Number","91"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Tourist/youth hostel or campsite","Number","38"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Student specific accommodation","Number","187"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Religious community","Number","378"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","971"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Children's home","Number","13"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Nursing home","Number","3219"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Hospital","Number","1145"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Defence establishment","Number","7"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Prison","Number","138"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","417"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Some Extent","Other, including not stated","Number","243"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","All persons","Number","21141"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Hotel","Number","346"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Guest house, boarding house or B&B","Number","37"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Tourist/youth hostel or campsite","Number","16"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Student specific accommodation","Number","29"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Religious community","Number","508"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","2403"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Children's home","Number","3"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Nursing home","Number","14365"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Hospital","Number","2828"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Prison","Number","70"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","299"
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Other, including not stated","Number","236"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","All persons","Number","20293"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Hotel","Number","2428"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Guest house, boarding house or B&B","Number","315"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Tourist/youth hostel or campsite","Number","183"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Student specific accommodation","Number","987"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Religious community","Number","509"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","2313"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Children's home","Number","66"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Nursing home","Number","7253"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Hospital","Number","3012"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Defence establishment","Number","54"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Prison","Number","838"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","1729"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Civilian ships, boats and barges","Number","3"
"People with a disability","2022","Male","Total persons with a disability","Any Extent","Other, including not stated","Number","603"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","All persons","Number","6768"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Hotel","Number","1857"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Guest house, boarding house or B&B","Number","206"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Tourist/youth hostel or campsite","Number","125"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Student specific accommodation","Number","814"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Religious community","Number","314"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","218"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Children's home","Number","38"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Nursing home","Number","752"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Hospital","Number","858"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Defence establishment","Number","46"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Prison","Number","510"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","817"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Male","Total persons with a disability","Some Extent","Other, including not stated","Number","211"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","All persons","Number","13525"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Hotel","Number","571"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Guest house, boarding house or B&B","Number","109"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Tourist/youth hostel or campsite","Number","58"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Student specific accommodation","Number","173"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Religious community","Number","195"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","2095"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Children's home","Number","28"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Nursing home","Number","6501"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Hospital","Number","2154"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Defence establishment","Number","8"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Prison","Number","328"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","912"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Total persons with a disability","Great Extent","Other, including not stated","Number","392"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","All persons","Number","6449"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Hotel","Number","756"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Guest house, boarding house or B&B","Number","102"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Tourist/youth hostel or campsite","Number","61"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Student specific accommodation","Number","379"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Religious community","Number","169"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","556"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Children's home","Number","9"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Nursing home","Number","2830"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Hospital","Number","802"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Defence establishment","Number","20"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Prison","Number","214"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","437"
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Blindness or vision impairment","Any Extent","Other, including not stated","Number","114"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","All persons","Number","5307"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Hotel","Number","671"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Guest house, boarding house or B&B","Number","87"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Tourist/youth hostel or campsite","Number","48"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Student specific accommodation","Number","357"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Religious community","Number","150"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","385"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Children's home","Number","9"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Nursing home","Number","2308"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Hospital","Number","643"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Defence establishment","Number","19"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Prison","Number","191"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","340"
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Blindness or vision impairment","Some Extent","Other, including not stated","Number","99"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","All persons","Number","1142"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Hotel","Number","85"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Guest house, boarding house or B&B","Number","15"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Tourist/youth hostel or campsite","Number","13"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Student specific accommodation","Number","22"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Religious community","Number","19"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","171"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Children's home","Number",""
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Nursing home","Number","522"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Hospital","Number","159"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Prison","Number","23"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","97"
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Blindness or vision impairment","Great Extent","Other, including not stated","Number","15"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","All persons","Number","5218"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Hotel","Number","690"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Guest house, boarding house or B&B","Number","52"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Tourist/youth hostel or campsite","Number","33"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Student specific accommodation","Number","51"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Religious community","Number","215"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","302"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Children's home","Number","11"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Nursing home","Number","2653"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Hospital","Number","772"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Defence establishment","Number","8"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Prison","Number","118"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","248"
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Deafness or hearing impairment","Any Extent","Other, including not stated","Number","65"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","All persons","Number","4053"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Hotel","Number","595"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Guest house, boarding house or B&B","Number","38"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Tourist/youth hostel or campsite","Number","29"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Student specific accommodation","Number","42"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Religious community","Number","177"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","209"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Children's home","Number","4"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Nursing home","Number","2010"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Hospital","Number","606"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Defence establishment","Number","7"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Prison","Number","96"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","190"
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Deafness or hearing impairment","Some Extent","Other, including not stated","Number","50"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","All persons","Number","1165"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Hotel","Number","95"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Guest house, boarding house or B&B","Number","14"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Tourist/youth hostel or campsite","Number","4"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Student specific accommodation","Number","9"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Religious community","Number","38"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","93"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Children's home","Number","7"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Nursing home","Number","643"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Hospital","Number","166"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Prison","Number","22"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","58"
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Deafness or hearing impairment","Great Extent","Other, including not stated","Number","15"
